Iter 0,error 158.734
Iter 1000,error 47.915
Iter 2000,error 35.1
Iter 3000,error 27.623
Iter 4000,error 22.637
Iter 5000,error 19.148
Iter 6000,error 16.414
Iter 7000,error 14.268
Iter 8000,error 12.635
Iter 9000,error 11.237
Iter 10000,error 10.144
Iter 11000,error 9.312
Iter 12000,error 8.514
Iter 13000,error 7.884
Iter 14000,error 7.286
Iter 15000,error 6.783
Iter 16000,error 6.329
Iter 17000,error 5.916
Iter 18000,error 5.627
Iter 19000,error 5.237
Iter 20000,error 4.962
Iter 21000,error 4.744
Iter 22000,error 4.475
Iter 23000,error 4.308
Iter 24000,error 4.107
Iter 25000,error 3.929
Iter 26000,error 3.773
Iter 27000,error 3.637
Iter 28000,error 3.483
Iter 29000,error 3.491
Iter 30000,error 3.263
Iter 31000,error 3.199
Iter 32000,error 3.044
Iter 33000,error 3.004
Iter 34000,error 2.881
Iter 35000,error 2.811
Iter 36000,error 2.828
Iter 37000,error 2.654
Iter 38000,error 2.599
Iter 39000,error 2.555
Iter 40000,error 2.47
Iter 41000,error 2.424
Iter 42000,error 2.383
Iter 43000,error 2.409
Iter 44000,error 2.266
Iter 45000,error 2.256
Iter 46000,error 2.228
Iter 47000,error 2.193
Iter 48000,error 2.105
Iter 49000,error 2.074
Iter 50000,error 2.047
Iter 51000,error 2.08
Iter 52000,error 2.044
Iter 53000,error 1.972
Iter 54000,error 1.971
Iter 55000,error 1.915
Iter 56000,error 1.874
Iter 57000,error 1.85
Iter 58000,error 1.826
Iter 59000,error 1.793
Iter 60000,error 1.782
Iter 61000,error 1.756
Iter 62000,error 1.753
Iter 63000,error 1.731
Iter 64000,error 1.701
Iter 65000,error 1.706
Iter 66000,error 1.778
Iter 67000,error 1.661
Iter 68000,error 1.654
Iter 69000,error 1.615
Iter 70000,error 1.615
Iter 71000,error 1.604
Iter 72000,error 1.575
Iter 73000,error 1.557
Iter 74000,error 1.554
Iter 75000,error 1.532
Iter 76000,error 1.512
Iter 77000,error 1.5
Iter 78000,error 1.529
Iter 79000,error 1.5
Iter 80000,error 1.542
Iter 81000,error 1.455
Iter 82000,error 1.442
Iter 83000,error 1.43
Iter 84000,error 1.437
Iter 85000,error 1.439
Iter 86000,error 1.428
Iter 87000,error 1.478
Iter 88000,error 1.393
Iter 89000,error 1.385
Iter 90000,error 1.365
Iter 91000,error 1.376
Iter 92000,error 1.353
Iter 93000,error 1.375
Iter 94000,error 1.339
Iter 95000,error 1.33
Iter 96000,error 1.36
Iter 97000,error 1.316
Iter 98000,error 1.324
Iter 99000,error 1.304
Iter 100000,error 1.302
Iter 101000,error 1.29
Iter 102000,error 1.283
Iter 103000,error 1.296
Iter 104000,error 1.271
Iter 105000,error 1.26
Iter 106000,error 1.254
Iter 107000,error 1.266
Iter 108000,error 1.245
Iter 109000,error 1.261
Iter 110000,error 1.228
Iter 111000,error 1.257
Iter 112000,error 1.226
Iter 113000,error 1.226
Iter 114000,error 1.212
Iter 115000,error 1.205
Iter 116000,error 1.204
Iter 117000,error 1.219
Iter 118000,error 1.209
Iter 119000,error 1.193
Iter 120000,error 1.198
Iter 121000,error 1.188
Iter 122000,error 1.203
Iter 123000,error 1.185
Iter 124000,error 1.19
Iter 125000,error 1.165
Iter 126000,error 1.157
Iter 127000,error 1.169
Iter 128000,error 1.147
Iter 129000,error 1.149
Iter 130000,error 1.155
Iter 131000,error 1.147
Iter 132000,error 1.139
Iter 133000,error 1.148
Iter 134000,error 1.135
Iter 135000,error 1.133
Iter 136000,error 1.145
Iter 137000,error 1.118
Iter 138000,error 1.117
Iter 139000,error 1.123
Iter 140000,error 1.11
Iter 141000,error 1.153
Iter 142000,error 1.116
Iter 143000,error 1.101
Iter 144000,error 1.103
Iter 145000,error 1.097
Iter 146000,error 1.101
Iter 147000,error 1.115
Iter 148000,error 1.141
Iter 149000,error 1.078
Iter 150000,error 1.071
Iter 151000,error 1.072
Iter 152000,error 1.108
Iter 153000,error 1.086
Iter 154000,error 1.065
Iter 155000,error 1.064
Iter 156000,error 1.066
Iter 157000,error 1.057
Iter 158000,error 1.063
Iter 159000,error 1.053
Iter 160000,error 1.05
Iter 161000,error 1.074
Iter 162000,error 1.054
Iter 163000,error 1.053
Iter 164000,error 1.063
Iter 165000,error 1.044
Iter 166000,error 1.044
Iter 167000,error 1.033
Iter 168000,error 1.036
Iter 169000,error 1.037
Iter 170000,error 1.035
Iter 171000,error 1.029
Iter 172000,error 1.036
Iter 173000,error 1.029
Iter 174000,error 1.021
Iter 175000,error 1.032
Iter 176000,error 1.024
Iter 177000,error 1.038
Iter 178000,error 1.016
Iter 179000,error 1.021
Iter 180000,error 1.012
Iter 181000,error 1.013
Iter 182000,error 1.005
Iter 183000,error 1.009
Iter 184000,error 1.011
Iter 185000,error 1.004
Iter 186000,error 1.002
Iter 187000,error 1.003
Iter 188000,error 1.0
Iter 189000,error 1.003
Iter 190000,error 0.991
Iter 191000,error 1.004
Iter 192000,error 1.004
Iter 193000,error 1.002
Iter 194000,error 0.986
Iter 195000,error 0.982
Iter 196000,error 0.995
Iter 197000,error 0.992
Iter 198000,error 1.007
Iter 199000,error 0.983
Iter 200000,error 0.977
Iter 201000,error 0.981
Iter 202000,error 0.978
Iter 203000,error 0.986
Iter 204000,error 1.004
Iter 205000,error 0.98
Iter 206000,error 0.969
Iter 207000,error 0.988
Iter 208000,error 0.974
Iter 209000,error 0.986
Iter 210000,error 0.981
Iter 211000,error 0.965
Iter 212000,error 0.981
Iter 213000,error 0.999
Iter 214000,error 0.971
Iter 215000,error 1.003
Iter 216000,error 0.96
Iter 217000,error 0.969
Iter 218000,error 0.986
Iter 219000,error 0.997
Iter 220000,error 0.962
Iter 221000,error 1.0
Iter 222000,error 0.972
Iter 223000,error 0.955
Iter 224000,error 0.952
Iter 225000,error 0.958
Iter 226000,error 0.984
Iter 227000,error 0.955
Iter 228000,error 0.952
Iter 229000,error 0.951
Iter 230000,error 0.948
Iter 231000,error 0.96
Iter 232000,error 0.956
Iter 233000,error 0.962
Iter 234000,error 0.947
Iter 235000,error 0.943
Iter 236000,error 0.942
Iter 237000,error 0.963
Iter 238000,error 0.962
Iter 239000,error 0.94
Iter 240000,error 0.94
Iter 241000,error 0.94
Iter 242000,error 0.936
Iter 243000,error 0.942
Iter 244000,error 0.937
Iter 245000,error 0.935
Iter 246000,error 0.932
Iter 247000,error 0.934
Iter 248000,error 0.929
Iter 249000,error 0.931
Iter 250000,error 0.937
Iter 251000,error 0.958
Iter 252000,error 0.945
Iter 253000,error 0.933
Iter 254000,error 0.93
Iter 255000,error 0.942
Iter 256000,error 0.926
Iter 257000,error 0.923
Iter 258000,error 0.924
Iter 259000,error 0.936
Iter 260000,error 0.928
Iter 261000,error 0.923
Iter 262000,error 0.923
Iter 263000,error 0.923
Iter 264000,error 0.925
Iter 265000,error 0.937
Iter 266000,error 0.916
Iter 267000,error 0.916
Iter 268000,error 0.924
Iter 269000,error 0.948
Iter 270000,error 0.917
Iter 271000,error 0.919
Iter 272000,error 0.922
Iter 273000,error 0.916
Iter 274000,error 0.919
Iter 275000,error 0.919
Iter 276000,error 0.922
Iter 277000,error 0.916
Iter 278000,error 0.918
Iter 279000,error 0.914
Iter 280000,error 0.911
Iter 281000,error 0.918
Iter 282000,error 0.917
Iter 283000,error 0.908
Iter 284000,error 0.922
Iter 285000,error 0.911
Iter 286000,error 0.927
Iter 287000,error 0.912
Iter 288000,error 0.923
Iter 289000,error 0.902
Iter 290000,error 0.903
Iter 291000,error 0.914
Iter 292000,error 0.919
Iter 293000,error 0.908
Iter 294000,error 0.902
Iter 295000,error 0.905
Iter 296000,error 0.935
Iter 297000,error 0.928
Iter 298000,error 0.93
Iter 299000,error 0.914
Iter 300000,error 0.902
Iter 301000,error 0.899
Iter 302000,error 0.897
Iter 303000,error 0.912
Iter 304000,error 0.897
Iter 305000,error 0.901
Iter 306000,error 0.901
Iter 307000,error 0.899
Iter 308000,error 0.894
Iter 309000,error 0.895
Iter 310000,error 0.896
Iter 311000,error 0.896
Iter 312000,error 0.904
Iter 313000,error 0.916
Iter 314000,error 0.893
Iter 315000,error 0.891
Iter 316000,error 0.892
Iter 317000,error 0.895
